Date,Open,High,Low,Close,Volume
2019-05-03,0.0001,0.0001,0.0001,0.0001,200000
2019-05-02,0.0001,0.0001,0.0001,0.0001,1069999
2019-04-25,0.0001,0.0001,0.0001,0.0001,1498993
2019-04-24,0.0001,0.0001,0.0001,0.0001,200000
2019-04-22,0.0001,0.0001,0.0001,0.0001,200000
2019-04-18,0.0001,0.0001,0.0001,0.0001,40000
2019-04-17,0.0001,0.0001,0.0001,0.0001,150
2019-04-10,0.0001,0.0001,0.0001,0.0001,2627478
2019-04-08,0.0002,0.0002,0.0001,0.0001,435700
2019-04-03,0.0001,0.0001,0.0001,0.0001,20000000
2019-04-02,0.0001,0.0001,0.0001,0.0001,959999
2019-03-29,0.0001,0.0001,0.0001,0.0001,500000
2019-03-28,0.0001,0.0001,0.0001,0.0001,2650000
2019-03-18,0.0001,0.0001,0.0001,0.0001,1000000
2019-03-15,0.0001,0.0001,0.0001,0.0001,1000000
2019-03-14,0.0002,0.0002,0.0001,0.0001,4900000
2019-03-13,0.0001,0.0002,0.0001,0.0002,24403762
2019-03-11,0.0001,0.0002,0.0001,0.0002,6200000
2019-03-08,0.0001,0.0001,0.0001,0.0001,3169554
2019-03-07,0.0001,0.0001,0.0001,0.0001,41000000
2019-03-01,0.0001,0.0001,0.0001,0.0001,340000
2019-02-28,0.0002,0.0002,0.0002,0.0002,10000
2019-02-27,0.0002,0.0002,0.0002,0.0002,150000
2019-02-26,0.0001,0.0001,0.0001,0.0001,19980000
2019-02-22,0.0001,0.0001,0.0001,0.0001,500
2019-02-15,0.0001,0.0001,0.0001,0.0001,22222
2019-02-12,0.0001,0.0001,0.0001,0.0001,4000000
2019-02-11,0.0001,0.0001,0.0001,0.0001,1000000
2019-02-08,0.0002,0.0002,0.0001,0.0001,1150000
2019-02-05,0.0001,0.0001,0.0001,0.0001,60000
2019-02-04,0.0002,0.0002,0.0002,0.0002,1000000
2019-01-25,0.0001,0.0002,0.0001,0.0001,1500000
2019-01-23,0.0001,0.0001,0.0001,0.0001,62000284
2019-01-18,0.0001,0.0001,0.0001,0.0001,15000
2019-01-17,0.0001,0.0001,0.0001,0.0001,100000
2019-01-16,0.0001,0.0001,0.0001,0.0001,1000000
2019-01-15,0.0001,0.0001,0.0001,0.0001,1000
2019-01-14,0.0001,0.0001,0.0001,0.0001,2217000
2019-01-08,0.0001,0.0002,0.0001,0.0002,4300000
2019-01-07,0.0001,0.0002,0.0001,0.0002,219949
2019-01-04,0.0001,0.0001,0.0001,0.0001,500000
2019-01-03,0.0002,0.0002,0.0002,0.0002,200000
2018-12-31,0.0001,0.0001,0.0001,0.0001,2061176
2018-12-28,0.0002,0.0002,0.0001,0.0001,1692537
2018-12-27,0.0001,0.0002,0.0001,0.0001,624700
2018-12-26,0.0001,0.0002,0.0001,0.0001,2209200
2018-12-20,0.0001,0.0001,0.0001,0.0001,4050000
2018-12-18,0.0001,0.0001,0.0001,0.0001,250000
2018-12-11,0.0001,0.0001,0.0001,0.0001,500000
2018-12-10,0.0001,0.0001,0.0001,0.0001,582153
2018-12-06,0.0001,0.0001,0.0001,0.0001,6510000
2018-12-03,0.0001,0.0002,0.0001,0.0002,500000
2018-11-30,0.0001,0.0001,0.0001,0.0001,2412
2018-11-28,0.0001,0.0001,0.0001,0.0001,58474
