Date,Open,High,Low,Close,Volume
2019-05-06,46.1200,46.2400,45.9650,45.9900,11936
2019-05-03,46.2400,46.4100,45.7900,46.2200,148086
2019-05-02,46.2400,46.5900,45.7800,46.1200,163235
2019-05-01,46.3000,46.8600,45.9600,46.2200,408134
2019-04-30,46.2000,46.5800,45.7936,46.1900,222270
2019-04-29,46.3700,46.6500,46.0800,46.2100,295687
2019-04-26,46.4500,46.6000,46.0600,46.5200,198747
2019-04-25,45.8500,46.1300,45.5150,46.0800,240807
2019-04-24,45.3400,45.9500,45.2600,45.9500,384277
2019-04-23,43.9000,45.1100,43.4900,45.1100,269874
2019-04-22,44.5500,44.6650,43.1300,43.6900,222603
2019-04-18,44.0500,44.8900,44.0500,44.7600,199161
2019-04-17,44.3800,44.3800,43.7200,44.0800,360197
2019-04-16,45.8700,45.8700,44.2100,44.3200,195859
2019-04-15,45.7200,45.8200,45.4100,45.8200,206559
2019-04-12,45.8300,45.8600,45.4100,45.7500,240759
2019-04-11,45.9400,46.1650,45.6700,45.8800,187651
2019-04-10,45.6700,46.2200,45.5200,46.0800,255842
2019-04-09,45.6600,46.1700,45.5100,45.5100,225347
2019-04-08,46.8100,46.8600,45.9500,46.0000,218751
2019-04-05,46.4800,46.8300,46.2400,46.7700,238041
2019-04-04,46.4700,46.5700,46.0750,46.4100,214559
2019-04-03,46.4400,46.7400,45.8900,46.3800,239679
2019-04-02,46.3700,46.4400,45.6100,46.4000,251318
2019-04-01,46.0600,46.2200,45.5900,46.2200,281594
2019-03-29,46.2600,46.4400,45.5000,45.8600,765840
2019-03-28,45.6800,46.3200,45.6800,46.2800,189127
2019-03-27,45.7500,46.1300,45.3925,45.7200,171961
2019-03-26,45.3300,45.8600,45.2100,45.8300,160027
2019-03-25,45.0900,45.5500,44.9100,45.3200,191365
2019-03-22,45.6500,46.0600,45.1100,45.1100,269931
2019-03-21,44.9500,46.0150,44.9500,45.7300,213062
2019-03-20,45.0800,45.5200,44.9000,44.9700,459742
2019-03-19,45.6700,45.7400,45.1000,45.1200,177269
2019-03-18,45.7700,46.0250,45.3800,45.6700,167492
2019-03-15,46.2300,46.4600,45.5700,45.6900,443606
2019-03-14,46.4900,46.6200,45.9200,46.1200,206576
2019-03-13,45.5400,46.2800,45.4551,46.2000,263765
2019-03-12,45.7300,46.0000,45.5100,45.7900,130132
2019-03-11,45.5100,45.7900,44.9650,45.5700,219354
2019-03-08,44.6700,45.5000,44.6100,45.3000,223938
2019-03-07,44.9200,45.4400,44.6800,44.7500,287128
2019-03-06,44.1600,44.9850,44.0200,44.7700,338366
2019-03-05,44.0100,44.3500,43.7450,44.1900,120288
2019-03-04,44.1500,44.1600,43.5350,43.9800,197220
2019-03-01,43.6100,43.8800,43.0700,43.8200,166138
2019-02-28,43.2200,43.9500,43.0900,43.4400,227257
