Date,Open,High,Low,Close,Volume
2019-05-03,1.0700,1.0700,1.0700,1.0700,50000
2019-04-24,1.0700,1.0700,1.0700,1.0700,200
2019-04-23,1.0700,1.0700,1.0700,1.0700,19580
2019-04-11,1.0500,1.0500,1.0500,1.0500,90
2019-04-10,1.0850,1.0850,1.0500,1.0500,2500
2019-04-05,1.1000,1.1000,1.1000,1.1000,15000
2019-04-03,1.2000,1.2000,1.2000,1.2000,11500
2019-03-28,1.1500,1.1500,1.1500,1.1500,1500
2019-03-27,1.2090,1.2090,1.2090,1.2090,25
2019-03-25,1.2450,1.2450,1.2000,1.2090,2000
2019-03-20,1.2000,1.2000,1.2000,1.2000,2000
2019-03-15,1.2900,1.2950,1.2900,1.2950,10000
2019-03-14,1.2500,1.2500,1.2450,1.2450,5750
2019-03-11,1.1500,1.1500,1.1500,1.1500,7040
2019-03-05,1.2500,1.2500,1.2500,1.2500,40
2019-03-04,1.2700,1.2700,1.2500,1.2500,2000
2019-03-01,1.2000,1.2450,1.2000,1.2000,995
2019-02-26,1.2400,1.2400,1.2400,1.2400,200
2019-02-25,1.1500,1.1500,1.1500,1.1500,610
2019-02-13,1.2100,1.2500,1.2100,1.2500,5500
2019-02-12,1.1600,1.1600,1.1100,1.1100,5000
2019-02-11,1.1500,1.1500,1.1500,1.1500,2800
2019-02-08,1.1000,1.1000,1.1000,1.1000,2900
2019-02-07,1.1200,1.1200,1.1000,1.1000,10079
2019-02-05,1.0100,1.0100,1.0100,1.0100,2000
2019-02-01,1.1100,1.1200,1.1100,1.1200,900
2019-01-25,1.0500,1.1200,1.0500,1.1200,1700
2019-01-22,0.9600,0.9600,0.9600,0.9600,500
2019-01-11,0.9900,0.9900,0.9580,0.9580,8000
2019-01-10,0.9500,0.9500,0.9500,0.9500,1000
2019-01-09,0.9550,0.9550,0.9100,0.9100,4400
2019-01-08,0.9550,0.9550,0.9550,0.9550,2000
2019-01-07,0.9955,0.9955,0.9955,0.9955,200
2018-12-31,0.9100,1.0000,0.9000,0.9600,6609
2018-12-28,0.8500,0.9000,0.8500,0.8500,22564
2018-12-27,0.8500,0.8500,0.8500,0.8500,9200
2018-12-24,0.8404,0.8404,0.8360,0.8360,5000
2018-12-21,0.8725,0.8725,0.8404,0.8404,12000
2018-12-20,0.9137,0.9137,0.8800,0.8950,2500
2018-12-19,1.0400,1.0400,1.0400,1.0400,1000
2018-12-13,1.0000,1.0500,1.0000,1.0500,3300
2018-12-10,1.0000,1.0700,1.0000,1.0700,19628
2018-12-06,1.1000,1.1000,1.1000,1.1000,1000
2018-12-04,1.0950,1.0950,1.0950,1.0950,2800
2018-12-03,1.1650,1.1650,1.1650,1.1650,200
2018-11-21,1.1500,1.1500,1.1500,1.1500,1500
2018-11-20,1.1600,1.1600,1.1200,1.1200,8000
2018-11-15,1.2000,1.2000,1.2000,1.2000,3500
2018-11-13,1.2000,1.2000,1.2000,1.2000,5000
2018-11-02,1.3500,1.4400,1.3500,1.3500,17100
2018-11-01,1.3000,1.3000,1.3000,1.3000,500
2018-10-30,1.3000,1.3000,1.2800,1.3000,4010
2018-10-29,1.2600,1.2600,1.2600,1.2600,1700
2018-10-26,1.2600,1.3150,1.2600,1.2600,1400
2018-10-24,1.2800,1.2800,1.2800,1.2800,500
2018-10-18,1.3375,1.3375,1.3000,1.3000,1000
2018-10-17,1.3500,1.3500,1.3500,1.3500,1000
2018-10-16,1.3500,1.3500,1.3000,1.3000,3900
2018-10-10,1.3600,1.3600,1.2600,1.2600,1147
2018-10-09,1.3200,1.3200,1.3200,1.3200,10000
2018-10-08,1.2600,1.2600,1.2600,1.2600,121
2018-10-05,1.2000,1.2500,1.2000,1.2500,4800
2018-10-02,1.2500,1.2500,1.2200,1.2500,4181
2018-10-01,1.2500,1.2500,1.2500,1.2500,700
2018-09-28,1.2500,1.2500,1.2200,1.2200,3600
2018-09-25,1.6000,1.6150,1.5500,1.5500,2200
2018-09-20,1.6000,1.6000,1.6000,1.6000,200
2018-09-19,1.5800,1.6000,1.5800,1.6000,6174
2018-09-17,1.5500,1.5750,1.5500,1.5500,2700
2018-09-14,1.4500,1.4500,1.4500,1.4500,1300
2018-09-13,1.5200,1.5200,1.4500,1.4500,700
2018-09-11,1.5000,1.5000,1.5000,1.5000,10400
2018-09-10,1.4500,1.4500,1.4500,1.4500,400
2018-09-07,1.4000,1.4000,1.4000,1.4000,2000
2018-09-06,1.4000,1.4650,1.4000,1.4000,4950
2018-08-31,1.4000,1.4000,1.4000,1.4000,1000
2018-08-30,1.4250,1.4300,1.4000,1.4100,2750
2018-08-28,1.4750,1.4750,1.4500,1.4500,800
2018-08-27,1.4200,1.4200,1.4100,1.4100,4200
2018-08-22,1.4500,1.4500,1.4500,1.4500,300
2018-08-21,1.4500,1.4500,1.4500,1.4500,750
2018-08-17,1.4100,1.4100,1.4100,1.4100,5000
2018-08-16,1.4500,1.4500,1.4500,1.4500,7500
2018-08-14,1.5500,1.5500,1.5500,1.5500,190
2018-08-09,1.5000,1.5500,1.5000,1.5500,13500
2018-08-08,1.4500,1.4750,1.4500,1.4500,4730
2018-08-07,1.4450,1.4450,1.4100,1.4100,10000
2018-08-06,1.4000,1.4250,1.4000,1.4250,6100
2018-08-03,1.4000,1.4000,1.4000,1.4000,21500
2018-08-02,1.4000,1.4450,1.4000,1.4000,6600
2018-08-01,1.4900,1.4900,1.4900,1.4900,175
2018-07-30,1.4500,1.5100,1.4500,1.5100,2500
2018-07-27,1.4500,1.4500,1.4500,1.4500,79
2018-07-26,1.4500,1.4500,1.4500,1.4500,300
2018-07-24,1.4500,1.4500,1.4500,1.4500,4000
2018-07-23,1.4000,1.4400,1.4000,1.4400,11000
2018-07-20,1.4000,1.4500,1.4000,1.4000,5639
2018-07-19,1.4500,1.4800,1.3600,1.3600,3600
2018-07-18,1.4800,1.4800,1.4800,1.4800,6500
2018-07-17,1.5350,1.5350,1.5000,1.5000,2500
2018-07-16,1.5500,1.5883,1.5500,1.5800,20700
2018-07-13,1.6000,1.6000,1.6000,1.6000,1550
2018-07-12,1.6500,1.6500,1.6500,1.6500,190
2018-07-09,1.6500,1.6500,1.6500,1.6500,8200
2018-07-05,1.6750,1.6750,1.6500,1.6500,3900
2018-07-03,1.6000,1.6000,1.6000,1.6000,12
2018-07-02,1.7000,1.7000,1.6000,1.6000,1732
2018-06-25,1.7400,1.7400,1.7400,1.7400,2000
2018-06-22,1.8400,1.8400,1.8400,1.8400,812
2018-06-21,1.7500,1.7500,1.7500,1.7500,1000
2018-06-20,1.8500,1.8500,1.8500,1.8500,851
2018-06-19,1.7600,1.7600,1.7500,1.7500,4700
2018-06-18,1.7600,1.7800,1.7600,1.7600,10036
2018-06-15,1.8050,1.8050,1.7600,1.7600,9000
